ft-MSL,acres,acre-feet
906.6,0,0
906.7,0,0
906.8,0,0
906.9,0,0
907.0,0,0
907.1,0,0
907.2,0,0
907.3,0,0
907.4,0,0
907.5,0,0
907.6,0,0
907.7,0,0
907.8,0,0
907.9,0,0
908.0,0,0
908.1,0,0
908.2,0,0
908.3,0,0
908.4,0,0
908.5,0,0
908.6,0,0
908.7,0,0
908.8,0,0
908.9,0,0
909.0,0,0
909.1,0,0
909.2,0,0
909.3,0,0
909.4,0,0
909.5,0,0
909.6,0,0
909.7,0,0
909.8,0,0
909.9,0,0
910.0,0,0
910.1,0,0
910.2,0,0
910.3,0,0
910.4,0,0
910.5,0,0
910.6,0,0
910.7,0,0
910.8,0,0
910.9,0,0
911.0,0,0
911.1,0,0
911.2,0,0
911.3,0,0
911.4,0,0
911.5,0,0
911.6,0,0
911.7,0,0
911.8,0,0
911.9,0,0
912.0,0,0
912.1,0,0
912.2,0,0
912.3,0,0
912.4,0,0
912.5,0,0
912.6,0,0
912.7,0,0
912.8,0,0
912.9,0,0
913.0,0,0
913.1,0,0
913.2,0,0
913.3,0,0
913.4,0,0
913.5,0,0
913.6,0,0
913.7,0,0
913.8,1,0
913.9,2,0
914.0,3,1
914.1,4,1
914.2,8,2
914.3,10,2
914.4,13,4
914.5,15,5
914.6,18,7
914.7,20,9
914.8,22,11
914.9,24,13
915.0,25,16
915.1,27,18
915.2,30,21
915.3,33,24
915.4,39,28
915.5,45,32
915.6,51,37
915.7,57,42
915.8,63,48
915.9,69,55
916.0,74,62
916.1,79,69
916.2,83,77
916.3,88,86
916.4,92,95
916.5,96,104
916.6,100,114
916.7,104,124
916.8,109,135
916.9,115,146
917.0,120,158
917.1,125,170
917.2,130,183
917.3,135,196
917.4,141,210
917.5,147,224
917.6,154,240
917.7,161,255
917.8,167,272
917.9,174,289
918.0,180,306
918.1,186,325
918.2,193,344
918.3,199,363
918.4,205,384
918.5,211,404
918.6,217,426
918.7,222,448
918.8,227,470
918.9,233,493
919.0,238,517
919.1,244,541
919.2,249,565
919.3,254,591
919.4,258,616
919.5,263,642
919.6,268,669
919.7,272,696
919.8,277,723
919.9,281,751
920.0,285,779
920.1,289,808
920.2,293,837
920.3,297,867
920.4,301,896
920.5,305,927
920.6,309,957
920.7,313,988
920.8,317,1020
920.9,321,1052
921.0,324,1084
921.1,328,1117
921.2,332,1150
921.3,336,1183
921.4,340,1217
921.5,344,1251
921.6,348,1286
921.7,352,1321
921.8,357,1356
921.9,361,1392
922.0,365,1428
922.1,369,1465
922.2,373,1502
922.3,377,1540
922.4,381,1578
922.5,385,1616
922.6,389,1655
922.7,393,1694
922.8,397,1733
922.9,402,1773
923.0,406,1813
923.1,411,1854
923.2,415,1896
923.3,419,1937
923.4,424,1979
923.5,428,2022
923.6,432,2065
923.7,437,2108
923.8,442,2152
923.9,446,2197
924.0,451,2242
924.1,457,2287
924.2,462,2333
924.3,467,2379
924.4,473,2426
924.5,479,2474
924.6,484,2522
924.7,490,2571
924.8,496,2620
924.9,503,2670
925.0,510,2721
925.1,517,2772
925.2,525,2824
925.3,534,2877
925.4,542,2931
925.5,550,2986
925.6,558,3041
925.7,565,3097
925.8,573,3154
925.9,580,3212
926.0,587,3270
926.1,594,3329
926.2,602,3389
926.3,609,3449
926.4,617,3511
926.5,625,3573
926.6,633,3636
926.7,641,3699
926.8,648,3764
926.9,656,3829
927.0,663,3895
927.1,671,3962
927.2,678,4029
927.3,685,4097
927.4,692,4166
927.5,699,4236
927.6,706,4306
927.7,713,4377
927.8,720,4448
927.9,726,4521
928.0,733,4594
928.1,740,4667
928.2,748,4742
928.3,755,4817
928.4,761,4893
928.5,768,4969
928.6,775,5046
928.7,782,5124
928.8,789,5203
928.9,796,5282
929.0,803,5362
929.1,810,5443
929.2,817,5524
929.3,824,5606
929.4,831,5689
929.5,838,5772
929.6,845,5856
929.7,852,5941
929.8,859,6027
