ft-MSL, acres, acre-feet
501.7,0,1
501.8,1,1
501.9,2,1
502.0,3,1
502.1,4,1
502.2,7,2
502.3,11,3
502.4,17,4
502.5,21,6
502.6,24,8
502.7,28,11
502.8,33,14
502.9,36,17
503.0,40,21
503.1,43,25
503.2,46,30
503.3,49,35
503.4,52,40
503.5,56,45
503.6,59,51
503.7,63,57
503.8,67,63
503.9,71,70
504.0,76,78
504.1,79,85
504.2,81,93
504.3,84,102
504.4,87,110
504.5,91,119
504.6,94,128
504.7,97,138
504.8,101,148
504.9,104,158
505.0,108,169
505.1,111,180
505.2,115,191
505.3,120,203
505.4,125,215
505.5,129,228
505.6,133,241
505.7,138,254
505.8,143,268
505.9,148,283
506.0,154,298
506.1,159,313
506.2,165,330
506.3,171,346
506.4,176,364
506.5,180,382
506.6,185,400
506.7,189,418
506.8,193,438
506.9,197,457
507.0,201,477
507.1,205,497
507.2,209,518
507.3,212,539
507.4,217,560
507.5,222,582
507.6,230,605
507.7,236,628
507.8,242,652
507.9,247,677
508.0,252,702
508.1,257,727
508.2,262,753
508.3,267,779
508.4,272,806
508.5,276,834
508.6,280,862
508.7,285,890
508.8,289,918
508.9,293,948
509.0,296,977
509.1,299,1007
509.2,302,1037
509.3,305,1067
509.4,308,1098
509.5,311,1129
509.6,314,1160
509.7,317,1192
509.8,320,1224
509.9,323,1256
510.0,326,1288
510.1,328,1321
510.2,330,1354
510.3,333,1387
510.4,336,1420
510.5,338,1454
510.6,341,1488
510.7,344,1522
510.8,347,1557
510.9,349,1592
511.0,352,1627
511.1,355,1662
511.2,357,1698
511.3,360,1733
511.4,363,1770
511.5,366,1806
511.6,370,1843
511.7,373,1880
511.8,375,1917
511.9,378,1955
512.0,381,1993
512.1,384,2031
512.2,388,2070
512.3,391,2109
512.4,394,2148
512.5,397,2188
512.6,400,2227
512.7,403,2268
512.8,406,2308
512.9,410,2349
513.0,412,2390
513.1,415,2431
513.2,418,2473
513.3,421,2515
513.4,424,2557
513.5,427,2600
513.6,429,2642
513.7,431,2685
513.8,434,2729
513.9,437,2772
514.0,440,2816
514.1,443,2860
514.2,445,2904
514.3,447,2949
514.4,450,2994
514.5,452,3039
514.6,454,3084
514.7,456,3130
514.8,459,3176
514.9,461,3222
515.0,463,3268
515.1,467,3314
515.2,471,3361
515.3,474,3408
515.4,478,3456
515.5,482,3504
515.6,486,3552
515.7,490,3601
515.8,493,3650
515.9,497,3700
516.0,501,3750
516.1,504,3800
516.2,508,3850
516.3,511,3901
516.4,515,3953
516.5,518,4004
516.6,521,4056
516.7,524,4108
516.8,527,4161
516.9,529,4214
517.0,532,4267
517.1,535,4320
517.2,537,4374
517.3,540,4428
517.4,544,4482
517.5,548,4536
517.6,552,4591
517.7,558,4647
517.8,563,4703
517.9,567,4759
518.0,571,4816
518.1,574,4874
518.2,578,4931
518.3,583,4989
518.4,587,5048
518.5,592,5107
518.6,596,5166
518.7,600,5226
518.8,604,5286
518.9,608,5347
519.0,612,5408
519.1,615,5469
519.2,619,5531
519.3,624,5593
519.4,628,5656
519.5,633,5719
519.6,638,5782
519.7,642,5846
519.8,646,5911
519.9,650,5975
520.0,653,6040
520.1,656,6106
520.2,660,6172
520.3,664,6238
520.4,667,6304
520.5,670,6371
520.6,673,6438
520.7,676,6506
520.8,679,6574
520.9,682,6642
521.0,685,6710
521.1,687,6779
521.2,690,6848
521.3,692,6917
521.4,695,6986
521.5,698,7056
521.6,701,7126
521.7,703,7196
521.8,706,7266
521.9,708,7337
522.0,711,7408
522.1,714,7479
522.2,718,7551
522.3,722,7623
522.4,727,7695
522.5,732,7768
522.6,736,7841
522.7,741,7915
522.8,747,7990
522.9,752,8065
523.0,756,8140
523.1,761,8216
523.2,765,8292
523.3,769,8369
523.4,773,8446
523.5,779,8524
523.6,785,8602
523.7,791,8681
523.8,796,8760
523.9,800,8840
524.0,805,8920
524.1,809,9001
524.2,813,9082
524.3,818,9163
524.4,822,9245
524.5,827,9328
524.6,832,9411
524.7,836,9494
524.8,840,9578
524.9,844,9662
525.0,848,9747
525.1,852,9832
525.2,855,9917
525.3,859,10003
525.4,862,10089
525.5,865,10175
525.6,868,10262
525.7,872,10349
525.8,875,10436
525.9,878,10524
526.0,881,10612
526.1,884,10700
526.2,887,10788
526.3,890,10877
526.4,893,10966
526.5,896,11056
526.6,898,11146
526.7,901,11236
526.8,904,11326
526.9,906,11416
527.0,909,11507
527.1,912,11598
527.2,915,11689
527.3,919,11781
527.4,923,11873
527.5,927,11966
527.6,931,12059
527.7,936,12152
527.8,940,12246
527.9,943,12340
528.0,947,12434
528.1,950,12529
528.2,954,12624
528.3,958,12720
528.4,961,12816
